data,db_index,unique,trial_num,ascending_time,descending_time,condition_time
desc,1,True,19,0.19215178489685059,0.3976619243621826,0.09769272804260254
desc,1,False,19,0.38587021827697754,0.39892125129699707,0.09591174125671387
asc,-1,True,19,0.3920421600341797,0.39992427825927734,0.09820151329040527
asc,1,False,19,0.39206695556640625,0.4014241695404053,0.0935523509979248
desc,-1,False,19,0.3998901844024658,0.4077432155609131,0.09612584114074707
desc,-1,True,19,0.4034852981567383,0.4124302864074707,0.1009817123413086
asc,-1,False,19,0.4049253463745117,0.41881442070007324,0.09493494033813477
no_index,no_index,no_index,49,0.41077208518981934,0.17470932006835938,0.320159912109375
asc,1,True,20,0.4371683597564697,0.18515276908874512,0.3404233455657959
desc,1,True,20,0.18951821327209473,0.40973758697509766,0.10256481170654297
desc,1,False,20,0.3851602077484131,0.40601110458374023,0.0942385196685791
asc,-1,True,20,0.39148402214050293,0.3994438648223877,0.0978083610534668
asc,1,False,20,0.3887326717376709,0.4015674591064453,0.09154248237609863
desc,-1,False,20,0.39629101753234863,0.4114389419555664,0.09452128410339355
desc,-1,True,20,0.4043715000152588,0.4217233657836914,0.09633183479309082
asc,-1,False,20,0.42139363288879395,0.42497968673706055,0.09387373924255371
no_index,no_index,no_index,49,0.4221529960632324,0.1757030487060547,0.3355128765106201
asc,1,True,21,0.19105887413024902,0.4029421806335449,0.09712862968444824
desc,1,True,21,0.3873116970062256,0.40316247940063477,0.09949159622192383
desc,1,False,21,0.38667774200439453,0.39863157272338867,0.0960385799407959
asc,-1,True,21,0.39917898178100586,0.4028747081756592,0.09727716445922852
asc,1,False,21,0.3869493007659912,0.40122199058532715,0.09542274475097656
desc,-1,False,21,0.4019312858581543,0.40620970726013184,0.09536075592041016
desc,-1,True,21,0.4058511257171631,0.4134542942047119,0.0933539867401123
asc,-1,False,21,0.4100465774536133,0.4233670234680176,0.09995675086975098
no_index,no_index,no_index,49,0.4065682888031006,0.17342090606689453,0.3239097595214844
asc,1,True,22,0.4321708679199219,0.18650102615356445,0.3369266986846924
desc,1,True,22,0.1889505386352539,0.4092557430267334,0.10176515579223633
desc,1,False,22,0.3859686851501465,0.40256834030151367,0.09457612037658691
asc,-1,True,22,0.39369893074035645,0.3986637592315674,0.09654378890991211
asc,1,False,22,0.38748598098754883,0.4027407169342041,0.09738683700561523
desc,-1,False,22,0.397261381149292,0.40997767448425293,0.0944826602935791
desc,-1,True,22,0.40648818016052246,0.4137885570526123,0.09539222717285156
asc,-1,False,22,0.4110572338104248,0.4163546562194824,0.09591865539550781
no_index,no_index,no_index,49,0.4079103469848633,0.17431378364562988,0.3240468502044678
