data,db_index,unique,trial_num,time
asc,1,True,0,0.22581744194030762
asc,1,True,1,0.20248174667358398
asc,1,True,2,0.19964599609375
asc,1,True,3,0.2029106616973877
asc,1,True,4,0.20020723342895508
asc,1,True,5,0.19683456420898438
asc,1,True,6,0.2014625072479248
asc,1,True,7,0.19804763793945312
asc,1,True,8,0.19715428352355957
asc,1,True,9,0.20146441459655762
asc,1,True,10,0.19932913780212402
asc,1,True,11,0.20116710662841797
asc,1,True,12,0.20015621185302734
asc,1,True,13,0.19796156883239746
asc,1,True,14,0.19735980033874512
asc,1,True,15,0.19710159301757812
asc,1,True,16,0.1963503360748291
asc,1,True,17,0.19597315788269043
asc,1,True,18,0.20049047470092773
asc,1,True,19,0.19573235511779785
asc,1,True,20,0.1988518238067627
asc,1,True,21,0.19971466064453125
asc,1,True,22,0.20107126235961914
asc,1,True,23,0.19140005111694336
asc,1,True,24,0.19723725318908691
asc,1,True,25,0.19805479049682617
asc,1,True,26,0.20992350578308105
asc,1,True,27,0.2128760814666748
asc,1,True,28,0.19909906387329102
asc,1,True,29,0.19431591033935547
asc,1,True,30,0.2000575065612793
asc,1,True,31,0.19804120063781738
asc,1,True,32,0.1923389434814453
asc,1,True,33,0.1999950408935547
asc,1,True,34,0.19942378997802734
asc,1,True,35,0.1995408535003662
asc,1,True,36,0.20151901245117188
asc,1,True,37,0.19797849655151367
asc,1,True,38,0.19535279273986816
asc,1,True,39,0.1965188980102539
asc,1,True,40,0.20128965377807617
asc,1,True,41,0.20355582237243652
asc,1,True,42,0.2004842758178711
asc,1,True,43,0.1978895664215088
asc,1,True,44,0.20129728317260742
asc,1,True,45,0.19870805740356445
asc,1,True,46,0.19675779342651367
asc,1,True,47,0.2010791301727295
asc,1,True,48,0.19615387916564941
asc,1,True,49,0.19771432876586914
asc,1,False,0,0.15733885765075684
asc,1,False,1,0.15528297424316406
asc,1,False,2,0.15641045570373535
asc,1,False,3,0.16068243980407715
asc,1,False,4,0.15598225593566895
asc,1,False,5,0.15359854698181152
asc,1,False,6,0.1558244228363037
asc,1,False,7,0.161240816116333
asc,1,False,8,0.15561509132385254
asc,1,False,9,0.15971827507019043
asc,1,False,10,0.1560070514678955
asc,1,False,11,0.15699481964111328
asc,1,False,12,0.1543588638305664
asc,1,False,13,0.14985227584838867
asc,1,False,14,0.15477895736694336
asc,1,False,15,0.16011786460876465
asc,1,False,16,0.16045355796813965
asc,1,False,17,0.1585555076599121
asc,1,False,18,0.15586447715759277
asc,1,False,19,0.1571674346923828
asc,1,False,20,0.15714335441589355
asc,1,False,21,0.15479421615600586
asc,1,False,22,0.15915942192077637
asc,1,False,23,0.1573173999786377
asc,1,False,24,0.15513110160827637
asc,1,False,25,0.1619739532470703
asc,1,False,26,0.1598207950592041
asc,1,False,27,0.15507912635803223
asc,1,False,28,0.15610909461975098
asc,1,False,29,0.16299009323120117
asc,1,False,30,0.15695691108703613
asc,1,False,31,0.15425777435302734
asc,1,False,32,0.1569352149963379
asc,1,False,33,0.1577587127685547
asc,1,False,34,0.1613161563873291
asc,1,False,35,0.1567549705505371
asc,1,False,36,0.15732049942016602
asc,1,False,37,0.159926176071167
asc,1,False,38,0.15835809707641602
asc,1,False,39,0.15840411186218262
asc,1,False,40,0.154754638671875
asc,1,False,41,0.16164398193359375
asc,1,False,42,0.15372467041015625
asc,1,False,43,0.16093945503234863
asc,1,False,44,0.15913176536560059
asc,1,False,45,0.15407156944274902
asc,1,False,46,0.15783095359802246
asc,1,False,47,0.1585531234741211
asc,1,False,48,0.16005229949951172
asc,1,False,49,0.14896059036254883
asc,-1,True,0,0.20116066932678223
asc,-1,True,1,0.20734596252441406
asc,-1,True,2,0.2035996913909912
asc,-1,True,3,0.1986522674560547
asc,-1,True,4,0.20308589935302734
asc,-1,True,5,0.2006516456604004
asc,-1,True,6,0.19918608665466309
asc,-1,True,7,0.2022848129272461
asc,-1,True,8,0.20363092422485352
asc,-1,True,9,0.2043142318725586
asc,-1,True,10,0.2018272876739502
asc,-1,True,11,0.2042524814605713
asc,-1,True,12,0.19730687141418457
asc,-1,True,13,0.20186471939086914
asc,-1,True,14,0.20178604125976562
asc,-1,True,15,0.2041490077972412
asc,-1,True,16,0.20438551902770996
asc,-1,True,17,0.20206904411315918
asc,-1,True,18,0.20106267929077148
asc,-1,True,19,0.19887471199035645
asc,-1,True,20,0.20421981811523438
asc,-1,True,21,0.20261216163635254
asc,-1,True,22,0.2019665241241455
asc,-1,True,23,0.19561505317687988
asc,-1,True,24,0.20641446113586426
asc,-1,True,25,0.20309948921203613
asc,-1,True,26,0.20444440841674805
asc,-1,True,27,0.20183277130126953
asc,-1,True,28,0.20248031616210938
asc,-1,True,29,0.20003199577331543
asc,-1,True,30,0.20305609703063965
asc,-1,True,31,0.2044055461883545
asc,-1,True,32,0.20391511917114258
asc,-1,True,33,0.19376659393310547
asc,-1,True,34,0.20377540588378906
asc,-1,True,35,0.20316171646118164
asc,-1,True,36,0.2042086124420166
asc,-1,True,37,0.20097875595092773
asc,-1,True,38,0.20424461364746094
asc,-1,True,39,0.20571684837341309
asc,-1,True,40,0.20069336891174316
asc,-1,True,41,0.19874882698059082
asc,-1,True,42,0.20265507698059082
asc,-1,True,43,0.19840645790100098
asc,-1,True,44,0.2041482925415039
asc,-1,True,45,0.20273900032043457
asc,-1,True,46,0.20143771171569824
asc,-1,True,47,0.20230770111083984
asc,-1,True,48,0.20115351676940918
asc,-1,True,49,0.1995840072631836
asc,-1,False,0,0.16083407402038574
asc,-1,False,1,0.16337108612060547
asc,-1,False,2,0.15702486038208008
asc,-1,False,3,0.16037750244140625
asc,-1,False,4,0.16198325157165527
asc,-1,False,5,0.16059517860412598
asc,-1,False,6,0.1569523811340332
asc,-1,False,7,0.16000604629516602
asc,-1,False,8,0.15916872024536133
asc,-1,False,9,0.15739059448242188
asc,-1,False,10,0.15495753288269043
asc,-1,False,11,0.15296649932861328
asc,-1,False,12,0.15836119651794434
asc,-1,False,13,0.16366863250732422
asc,-1,False,14,0.14993500709533691
asc,-1,False,15,0.1569042205810547
asc,-1,False,16,0.15920138359069824
asc,-1,False,17,0.15852665901184082
asc,-1,False,18,0.15950894355773926
asc,-1,False,19,0.1592388153076172
asc,-1,False,20,0.16048669815063477
asc,-1,False,21,0.15619993209838867
asc,-1,False,22,0.16313982009887695
asc,-1,False,23,0.161177396774292
asc,-1,False,24,0.15480923652648926
asc,-1,False,25,0.15937185287475586
asc,-1,False,26,0.1583709716796875
asc,-1,False,27,0.16405153274536133
asc,-1,False,28,0.1568300724029541
asc,-1,False,29,0.15767121315002441
asc,-1,False,30,0.1566329002380371
asc,-1,False,31,0.16640472412109375
asc,-1,False,32,0.15727758407592773
asc,-1,False,33,0.16042470932006836
asc,-1,False,34,0.15784978866577148
asc,-1,False,35,0.1563410758972168
asc,-1,False,36,0.15773272514343262
asc,-1,False,37,0.15826821327209473
asc,-1,False,38,0.1590418815612793
asc,-1,False,39,0.15969300270080566
asc,-1,False,40,0.16113066673278809
asc,-1,False,41,0.15610170364379883
asc,-1,False,42,0.15812015533447266
asc,-1,False,43,0.16006731986999512
asc,-1,False,44,0.1579270362854004
asc,-1,False,45,0.1593472957611084
asc,-1,False,46,0.1563413143157959
asc,-1,False,47,0.15702462196350098
asc,-1,False,48,0.15702080726623535
asc,-1,False,49,0.16393256187438965
desc,1,True,0,0.20009756088256836
desc,1,True,1,0.19885015487670898
desc,1,True,2,0.2018897533416748
desc,1,True,3,0.19776248931884766
desc,1,True,4,0.20908117294311523
desc,1,True,5,0.19780182838439941
desc,1,True,6,0.2045297622680664
